
* [華山1914文化創意產業園區] coords: 121.5293583,25.0440698,0 | desc: 不少快閃店會在這裡，還是請等官方消息
* [新光三越 A11] coords: 121.5673381,25.0365955,0 | desc: 不少快閃店會在這裡，還是請等官方消息
* [d/art taipei] coords: 121.5080403,25.0443453,0 | desc: 串友推薦，看官方FB是以日本繪師展覽為主，有興趣的人可以看看。
* [松山文創園區] coords: 121.5606383,25.0438366,0 | desc: 快閃店、原畫展，大巨蛋秀泰也在附近。<br>以官方消息為主
* [國立臺灣科學教育館] coords: 121.5164742,25.0962609,0 | desc: 7樓會辦展覽，以官方消息為主
* [三創生活園區] coords: 121.5313187,25.0454978,0 | desc: 6樓有展廳，以官方消息為主
* [京站時尚廣場] coords: 121.5171935,25.049308,0 | desc: 有些快閃店會辦在一樓

=== Layer 9: 推し活 (17 個地點) ===
* [fanfancy＋ with GiGO Garden City 台北] coords: 121.5595066,25.0424367,0 | desc: 
* [DAISO大創百貨 台北明曜店] coords: 121.5520137,25.0412324,0 | desc: 
* [DAISO大創百貨 東區MIKI Plaza店] coords: 121.5463445,25.0419276,0 | desc: 
* [DAISO大創百貨 台北永康店] coords: 121.5305309,25.033052,0 | desc: 
* [大創百貨 南西店] coords: 121.5221332,25.0524529,0 | desc: 
* [大創百貨 台北慶城店] coords: 121.5449218,25.0526693,0 | desc: 
* [DAISO大創百貨 南港環球店] coords: 121.6082522,25.0530608,0 | desc: 
* [DAISO大創百貨 台北站前店] coords: 121.5159608,25.0454481,0 | desc: 
* [DAISO大創百貨 台北東森廣場店] coords: 121.516203,25.0473859,0 | desc: 
* [Icolor台北車站店] coords: 121.5174207,25.0487638,0 | desc: 
* [icolor 永和頂溪店] coords: 121.5149921,25.0110736,0 | desc: 
* [icolor愛色彩(板橋環球店)] coords: 121.4638619,25.0144361,0 | desc: 
* [icolor 陽明店] coords: 121.4664646,25.0215181,0 | desc: 
* [icolor樹林秀泰店] coords: 121.4284257,24.9955128,0 | desc: 
* [i color 雙城店] coords: 121.524245,25.0645826,0 | desc: 
* [i color公館店] coords: 121.5354553,25.0133646,0 | desc: 
* [WEGO TOKYO 誠品生活武昌店] coords: 121.505685,25.0452277,0 | desc: 包包類

=== Layer 10: 遊戲片為主，但有周邊掉落 (4 個地點) ===
* [GAME休閒館 台北三創店] coords: 121.5311294,25.0454897,0 | desc: 
* [GAME休閒館 板橋大遠百門市] coords: 121.4669944,25.0137024,0 | desc: 
* [Game休閒館-新北永和店] coords: 121.5224817,25.006845,0 | desc: 
* [Game休閒館中和環球門市] coords: 121.4747789,25.0066724,0 | desc: 
